l2_regularization,N,query_type,metric,n_seeds,seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,baseline_l2_regularization,mean_paired_difference_from_baseline,paired_difference_sample_sd,paired_difference_standard_error,paired_difference_ci95_low,paired_difference_ci95_high,paired_training_and_query_clouds_verified,source_csv
1e-06,300,on_support,density_mae,3,"[123,124,125]",8.920913512299315e-06,1.243006141265796e-05,7.176499302641654e-06,-2.195707080187425e-05,3.9798897826472884e-05,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,density_rmse,3,"[123,124,125]",1.7287979313581288e-05,2.3876221538910887e-05,1.3784942932721342e-05,-4.2023843024597735e-05,7.65998016517603e-05,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,density_linf,3,"[123,124,125]",0.00010665866014893804,0.00014776756844777486,8.531364542081928e-05,-0.0002604163292012788,0.00047373364949915487,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,gradient_relative_l1,3,"[123,124,125]",0.006055643873754477,0.004965756532733432,0.00286698087090379,-0.006279979196426338,0.01839126694393529,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,gradient_relative_l2,3,"[123,124,125]",0.007919541189414596,0.0076528329903288225,0.0044183651870295946,-0.011091149843352693,0.026930232222181882,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,gradient_relative_linf,3,"[123,124,125]",0.013155426693140302,0.012566565942719475,0.007255310229818273,-0.018061653671979636,0.044372507058260235,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,gradient_mae,3,"[123,124,125]",6.198332447711487e-05,5.1411533687015634e-05,2.968246281364999e-05,-6.573000517214048e-05,0.00018969665412637022,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,gradient_rmse,3,"[123,124,125]",0.0001510812532052453,0.0001453772749298517,8.393360881480411e-05,-0.00021005591787501976,0.0005122184242855104,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,gradient_linf,3,"[123,124,125]",0.002067892307712208,0.0018072456058559365,0.0010434137370326933,-0.0024215546561339625,0.006557339271558379,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,Q_relative_l1,3,"[123,124,125]",0.017024072087431587,0.015519277125760041,0.008960058826185962,-0.02152794947929545,0.05557609365415862,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
