l2_regularization,baseline_l2,N,seed,query_type,metric,value,baseline_value,paired_difference,paired_percent_change,paired_training_cloud,paired_query_cloud,source_csv
0.01,1e-06,1200,123,off_support,gradient_relative_l2,0.013583339313505754,0.013605976760067588,-2.263744656183335e-05,-0.1663786949002616,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,gradient_relative_linf,0.011987481349434668,0.01214219570523779,-0.00015471435580312158,-1.2741876309602085,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,gradient_mae,0.00015065575828216492,0.00015142428553064946,-7.685272484845402e-07,-0.5075323590210926,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,gradient_rmse,0.0002663381454491612,0.0002667820138820869,-4.438684329257053e-07,-0.16637869490028198,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,gradient_linf,0.002076504306886544,0.0021033043507654448,-2.6800043878900948e-05,-1.2741876309601958,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,Q_relative_l1,0.025271122563462943,0.025660307418284206,-0.00038918485482126314,-1.51668040634599,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,Q_relative_l2,0.025524751969319998,0.025654646356610702,-0.0001298943872907049,-0.5063191496975504,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,Q_relative_linf,0.028126583047727662,0.026406468739927337,0.0017201143078003252,6.513988389517085,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,Q_mae,2.2239053916467484e-06,2.2581543766220194e-06,-3.4248984975271035e-08,-1.516680406346009,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,Q_rmse,4.045188422463117e-06,4.065774215901693e-06,-2.0585793438575753e-08,-0.5063191496975518,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,Q_linf,2.594300995443317e-05,2.4356434630501953e-05,1.5865753239312176e-06,6.513988389517093,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,density_relative_l1,0.006885514751884934,0.006903103048175933,-1.7588296290998486e-05,-0.2547882621518448,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,density_relative_l2,0.007755660663467981,0.007837288036928847,-8.162737346086545e-05,-1.0415257558002462,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,density_relative_linf,0.008671584462238017,0.009240736641756042,-0.0005691521795180253,-6.159164594586561,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,density_mae,6.138705380059586e-05,6.154386033279896e-05,-1.5680653220310104e-07,-0.2547882621518513,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,density_rmse,0.0001056145070158882,0.00010672608669699509,-1.1115796811068913e-06,-1.0415257558002342,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,density_linf,0.0006656283587343839,0.0007093163182730847,-4.368795953870082e-05,-6.159164594586569,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,gradient_relative_l1,0.011232554067595813,0.011367360050862517,-0.00013480598326670416,-1.185904050399772,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
