method,P0,observable,metric,n_seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,source_csv
MIDPOINT,20.0,R_mean,D12,4,2.375013390030162,2.6533399142976237,1.3266699571488119,-1.847042513429706,6.59706929349003,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,R_mean,D23,4,2.205606634693112,2.550076568579698,1.275038284289849,-1.852134242241104,6.263347511627328,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,R_mean,raw_observable_seed_spread,4,2.750586011446138,0.8422192108697155,0.42110960543485776,1.4104273035102612,4.090744719382014,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,R_var,value1,4,-1519.5303343023172,3066.410707001247,1533.2053535006235,-6398.874046792428,3359.813378187794,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,R_var,value2,4,-5.067519314691438,43.79236598306785,21.896182991533927,-74.7509459759267,64.61590734654382,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,R_var,value3,4,-13.114224340865304,50.313602095862414,25.156801047931207,-93.17439288862525,66.94594420689464,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,R_var,D12,4,503.33841705395906,966.4229593249748,483.2114796624874,-1034.4561710688656,2041.1330051767839,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,R_var,D23,4,8.379276427497418,4.099295340332346,2.049647670166173,1.8563827724425828,14.902170082552253,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,R_var,raw_observable_seed_spread,4,22.369197254305995,6.8444148136061225,3.4222074068030612,11.478205936609154,33.26018857200283,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,energy,value1,4,0.10652401698194124,0.017697234743905173,0.008848617371952586,0.07836376731969658,0.1346842666441859,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,energy,value2,4,0.12633722295821065,0.05566114146135936,0.02783057073067968,0.03776792596240676,0.21490651995401455,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,energy,value3,4,0.09369958242261012,0.024484476080402082,0.012242238040201041,0.05473931720316186,0.13265984764205838,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,energy,D12,4,0.03171758967869713,0.02892777683995529,0.014463888419977646,-0.014312958583504565,0.07774813794089883,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,energy,D23,4,0.02318572469581989,0.0316983683554293,0.01584918417771465,-0.027253452932317897,0.07362490232395767,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,energy,raw_observable_seed_spread,4,0.02272042321318272,0.006857380234863324,0.003428690117431662,0.011808801016997664,0.033632045409367775,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,trace,value1,4,1.0000000000013154,2.571973755382867e-13,1.2859868776914334e-13,1.0000000000009062,1.0000000000017246,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,trace,value2,4,1.0000000000036904,2.519048211657316e-12,1.259524105828658e-12,0.999999999999682,1.0000000000076987,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,trace,value3,4,1.000000000004381,1.1693053790508728e-12,5.846526895254364e-13,1.0000000000025202,1.0000000000062417,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,trace,D12,4,1.4495072344896965e-12,1.6538592901372055e-12,8.269296450686027e-13,-1.182151959188905e-12,4.081166428168298e-12,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,trace,D23,4,1.6803570672205395e-12,6.743528661046501e-13,3.3717643305232507e-13,6.07311173624241e-13,2.753402960816838e-12,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,20.0,trace,raw_observable_seed_spread,4,8.326333047232493e-13,2.299366738926747e-13,1.1496833694633734e-13,4.667527455837019e-13,1.1985138638627967e-12,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
