method,reference,P0,seed,observable,E_RMS,E_infinity,common_t_min,common_t_max,alignment,paired_initial_cloud_sha256,production_npz,reference_npz
MIDPOINT,TDSE,20.0,11,P_mean,0.41171402465305595,1.3789443235306145,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,TDSE,20.0,11,R_var,0.7720362459716185,2.2190469832240467,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,TDSE,20.0,11,P_var,15.16643942085646,177.0985610698042,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,QCLE,20.0,11,P0,0.06699833542244273,0.3753649354200642,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,QCLE,20.0,11,P1,0.06699833542209092,0.3753649354210896,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,QCLE,20.0,11,trace,1.09694599186891e-12,2.1507240433038533e-12,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,QCLE,20.0,11,energy,0.0041821384781411805,0.006382997117197392,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,QCLE,20.0,11,R_mean,0.120995742427445,0.4418097238542361,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,QCLE,20.0,11,P_mean,0.40564794181747815,1.3782908811978345,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,QCLE,20.0,11,R_var,0.6927403561948812,1.9433802936253528,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
