comparison_kind,reference,P0,observable,metric,n_paired_seeds,seeds,paired_differences_midpoint_minus_pbme,mean_paired_difference,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,verdict_before_scientific_gates,source_csv
density,TDSE,100.0,nuclear R marginal,raw_Einf,4,"[11,29,47,73]","[920253248379.2865,2.4115562674407436e+21,8.304819145439904e+20,435415634614813.56]",8.105096545801555e+20,1.1368963952719411e+21,5.6844819763597056e+20,-9.985462117319376e+20,2.6195655208922487e+21,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,100.0,nuclear R marginal,shape_E1,4,"[11,29,47,73]","[1.2069600882000293,2.4880444791420038,1.973742310282782,2.430864839479641]",2.024902929276114,0.5918764138882578,0.2959382069441289,1.083095475994321,2.9667103825579066,"two-sided paired Student t, df=3",MIDPOINT_ERROR_LARGER,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,100.0,nuclear R marginal,shape_E2,4,"[11,29,47,73]","[1.1238392849069796,2.4910415672294923,2.440853722346343,2.544948002492635]",2.1501706442438624,0.6855398991005511,0.34276994955027557,1.0593236847351148,3.24101760375261,"two-sided paired Student t, df=3",MIDPOINT_ERROR_LARGER,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,100.0,nuclear R marginal,shape_Einf,4,"[11,29,47,73]","[1.6443630348143843,3.9851001796977816,4.814523681890323,4.267488246931302]",3.677868785833448,1.3987103858481948,0.6993551929240974,1.4522084360307912,5.903529135636104,"two-sided paired Student t, df=3",MIDPOINT_ERROR_LARGER,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
observable,QCLE,20.0,P0,E_RMS,4,"[11,29,47,73]","[0.05670431637827392,0.0996940390897753,0.21749978009342036,1.1371558428701447]",0.3777634946079036,0.5108042073720138,0.2554021036860069,-0.4350399866294573,1.1905669758452646,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,P0,E_infinity,4,"[11,29,47,73]","[0.3395029361552928,0.518286337117158,3.4412704741024536,19.225086202571504]",5.881036487486602,9.008954883420902,4.504477441710451,-8.454221104121132,20.216294079094336,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,P1,E_RMS,4,"[11,29,47,73]","[0.056704316378188235,0.09969403909073676,0.21749978009417126,1.137155842867013]",0.37776349460752734,0.5108042073702269,0.25540210368511346,-0.43503998662699017,1.190566975842045,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,P1,E_infinity,4,"[11,29,47,73]","[0.3395029361568903,0.5182863371164043,3.4412704741001825,19.22508620258612]",5.881036487489899,9.008954883428144,4.504477441714072,-8.454221104129358,20.216294079109154,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,P_mean,E_RMS,4,"[11,29,47,73]","[0.36921046928592294,1.1197994213710594,1.1102946979508443,12.164502429640136]",3.6909517545619908,5.659965882515984,2.829982941257992,-5.315317000861998,12.697220509985979,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,P_mean,E_infinity,4,"[11,29,47,73]","[1.2794427977092049,1.7890550077602612,14.072837069488191,53.5791685740425]",17.680125862250037,24.652669483198064,12.326334741599032,-21.547772593848855,56.90802431834893,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
