method,reference,P0,seed,snapshot,quantity,bandwidth_R,bandwidth_P,raw_raw_mass_reference,raw_raw_mass_estimate,raw_E1,raw_E2,raw_Einf,shape_raw_mass_reference,shape_raw_mass_estimate,shape_E1,shape_E2,shape_Einf,paired_initial_cloud_sha256,production_npz,reference_npz
PBME,TDSE,100.0,29,snap_002400,nuclear R marginal,0.26836407771039755,,1.0000000000044478,1.0000000000002258,0.0519083784351602,0.04884447798872467,0.06491910946787317,1.0,1.0,0.051908378434977344,0.048844477987348964,0.06491910946408136,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed29\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.npz
PBME,QCLE,100.0,29,snap_002400,mapping-integrated R-P density,0.3378503570423242,0.22608280516248444,0.999999999981757,1.0000003074296737,0.31332807706326277,0.31193926404077493,0.412609472964212,1.0,1.0000000000000002,0.3133280108348516,0.311939284490434,0.41260965274352296,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed29\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P0100.npz
MIDPOINT,TDSE,100.0,29,snap_002400,nuclear R marginal,0.2683640895174653,,1.0000000000044478,5.94165571523327e+20,1.0042549723405907e+21,1.336118541469642e+21,2.4115562674407436e+21,1.0,1.0,2.539952857576981,2.5398860452168415,4.050019289161863,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed29\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.npz
MIDPOINT,QCLE,100.0,29,snap_002400,mapping-integrated R-P density,0.3378503719065418,0.2260834616503688,0.999999999981757,5.942101380803871e+20,1.4083340675789042e+21,2.2994598769628524e+21,6.583134272120886e+21,1.0,1.0000000000000002,3.1809844063120205,4.058242937721268,11.0734626931009,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed29\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P0100.npz
PBME,TDSE,100.0,47,snap_002400,nuclear R marginal,0.25584439535984704,,1.0000000000044478,1.0000000000002283,0.06263471931440157,0.06170160540485827,0.07743356439959184,1.0,1.0000000000000002,0.0626347193146348,0.06170160540522658,0.07743356440368068,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed47\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.npz
PBME,QCLE,100.0,47,snap_002400,mapping-integrated R-P density,0.3220890107836251,0.22080162780652596,0.999999999981757,1.0000003236765351,0.32170605908299427,0.3186075542663958,0.38868588307575935,1.0,1.0,0.3217059834218272,0.3186075402958709,0.38868608009931266,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed47\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P0100.npz
MIDPOINT,TDSE,100.0,47,snap_002400,nuclear R marginal,0.25584440675911635,,1.0000000000044478,-1.6630467916740428e+20,2.255690232586753e+20,3.938376418840484e+20,8.304819145439904e+20,1.0,0.9999999999999999,2.036377029597417,2.5025553277515695,4.8919572462940035,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed47\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.npz
MIDPOINT,QCLE,100.0,47,snap_002400,mapping-integrated R-P density,0.3220890251344549,0.22080229563783532,0.999999999981757,-1.6628618205100573e+20,5.474794183686358e+20,1.0751084322778715e+21,2.7815599806976717e+21,1.0,1.0,3.804228789694235,6.508169845920016,16.654753880207732,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed47\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P0100.npz
PBME,TDSE,100.0,73,snap_002400,nuclear R marginal,0.2642522069295441,,1.0000000000044478,1.0000000000002263,0.029559264945156306,0.02732206859839501,0.03537757069426348,1.0,0.9999999999999999,0.029559264944633276,0.027322068597520954,0.035377570691964844,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed73\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.npz
PBME,QCLE,100.0,73,snap_002400,mapping-integrated R-P density,0.33267381842629384,0.22094093832796358,0.999999999981757,1.0000030381441527,0.33445403504814714,0.3342913549637878,0.40270489620191763,1.0,1.0,0.33445363145013324,0.33429123805588656,0.4027067028456667,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed73\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P0100.npz
MIDPOINT,TDSE,100.0,73,snap_002400,nuclear R marginal,0.26425222230369966,,1.0000000000044478,-92858055138827.5,167869323789101.34,228247213620589.6,435415634614813.6,1.0,1.0,2.4604241044242743,2.572270071090156,4.3028658176232675,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed73\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.npz
MIDPOINT,QCLE,100.0,73,snap_002400,mapping-integrated R-P density,0.33267383778120896,0.2209415970900467,0.999999999981757,-92862272076153.22,273218665797838.16,341127938776067.2,697827093353970.9,1.0,1.0,3.381936240006594,3.7982362233394253,7.356415579396229,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed73\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P0100.npz
