N,seed,support,quantity,rmse,relative_l2,linf,n_query,source
1200,125,on_support,density,7.73684039325206e-05,0.005435131817386471,0.0006584427146156093,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed125\manufactured_operator_metrics.json
1200,125,on_support,gradient,0.00015294113729195404,0.007316460810941364,0.001684651597883365,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed125\manufactured_operator_metrics.json
1200,125,on_support,operator_Q,2.8876700734824302e-06,0.018582738499515625,3.014046660792998e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed125\manufactured_operator_metrics.json
1200,125,off_support,density,9.388084955479022e-05,0.006592922866304895,0.0008640147827014954,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed125\manufactured_operator_metrics.json
1200,125,off_support,gradient,0.00018118918101995917,0.009705705981782563,0.002033338110717542,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed125\manufactured_operator_metrics.json
1200,125,off_support,operator_Q,3.6640431628938176e-06,0.023917331328514445,3.651147274228091e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed125\manufactured_operator_metrics.json
2400,123,on_support,density,0.00010657133136125628,0.007074472159867351,0.0006146363598121124,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed123\manufactured_operator_metrics.json
2400,123,on_support,gradient,0.00022137583305056644,0.01129588494114018,0.002083443106733151,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed123\manufactured_operator_metrics.json
2400,123,on_support,operator_Q,4.224465240720687e-06,0.02450734397184154,3.1370867051410995e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed123\manufactured_operator_metrics.json
2400,123,off_support,density,0.00011012895722157646,0.008562051205266734,0.0008061660169896845,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed123\manufactured_operator_metrics.json
2400,123,off_support,gradient,0.00022548028021809432,0.012314423740818424,0.0021945126549547463,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed123\manufactured_operator_metrics.json
2400,123,off_support,operator_Q,4.4060125741831225e-06,0.026002967811125925,3.4022866336102175e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed123\manufactured_operator_metrics.json
2400,124,on_support,density,8.401451190694358e-05,0.005756011611291659,0.0008441426517007203,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed124\manufactured_operator_metrics.json
2400,124,on_support,gradient,0.0002038775881512806,0.010277483102053014,0.002745346928042104,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed124\manufactured_operator_metrics.json
2400,124,on_support,operator_Q,3.226094341295134e-06,0.020041617836133983,1.7667755328029627e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed124\manufactured_operator_metrics.json
2400,124,off_support,density,9.861758485492727e-05,0.007176939643566909,0.0007211280692489622,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed124\manufactured_operator_metrics.json
2400,124,off_support,gradient,0.00020751882110196405,0.010785540375455156,0.0026002508444441727,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed124\manufactured_operator_metrics.json
2400,124,off_support,operator_Q,3.509252317876985e-06,0.021108608262968825,2.841762301188474e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed124\manufactured_operator_metrics.json
2400,125,on_support,density,0.00011212648507687852,0.007612788361484177,0.0006713471086291292,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed125\manufactured_operator_metrics.json
2400,125,on_support,gradient,0.0002117172195126528,0.010658691313212343,0.0015322119244092491,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed125\manufactured_operator_metrics.json
2400,125,on_support,operator_Q,3.233291405197122e-06,0.019994576283662645,2.2736169141112663e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed125\manufactured_operator_metrics.json
2400,125,off_support,density,0.000121999013955971,0.008207758979259693,0.0009735764323748858,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed125\manufactured_operator_metrics.json
2400,125,off_support,gradient,0.00020977976485092099,0.01085162996735723,0.0016411886443359405,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed125\manufactured_operator_metrics.json
2400,125,off_support,operator_Q,3.727268268150501e-06,0.022704140031482054,2.5169235675698157e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N2400_seed125\manufactured_operator_metrics.json
