method,P0,observable,N,n_seeds,seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,cloud_relationship,source_csv,difference_from_N2000_mean,combined_seed_sd_scale,change_exceeds_seed_variability
PBME,20.0,R_var,1000,3,"[11,29,47]",2.368915153903051,0.1334006590976246,0.07701890644008708,2.037529545870399,2.7003007619357033,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.05799176858793498,0.1375389747027027,False
PBME,20.0,P_var,1000,3,"[11,29,47]",1.7046911962103952,0.09704921558940509,0.05603139074518505,1.4636075798719537,1.9457748125488368,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.004142050983508172,0.11590044494500318,False
MIDPOINT,20.0,P0,1000,3,"[11,29,47]",0.9159132273905578,0.06716780225096275,0.0387793487104689,0.7490591568056202,1.0827672979754954,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,-0.0355501539733345,0.10026944072787164,False
MIDPOINT,20.0,P1,1000,3,"[11,29,47]",0.08408677261189774,0.0671678022510005,0.03877934871049069,-0.0827672979731336,0.2509408431969291,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.035550153973678326,0.10026944072841915,False
MIDPOINT,20.0,trace,1000,3,"[11,29,47]",1.0000000000024556,6.088640206179119e-13,3.5152780620362933e-13,1.000000000000943,1.0000000000039682,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,3.4416913763379853e-13,9.327359533429816e-13,False
MIDPOINT,20.0,energy,1000,3,"[11,29,47]",0.09935655508831855,0.016718414127530615,0.009652380896953444,0.05782571207397492,0.14088739810266218,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.00594642018444938,0.026633428544466792,False
MIDPOINT,20.0,R_mean,1000,3,"[11,29,47]",14.913905482778262,1.9967704695632609,1.1528359681122442,9.95365265768822,19.874158307868303,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.42854034862832435,3.0044427656942063,False
MIDPOINT,20.0,P_mean,1000,3,"[11,29,47]",19.513100080891487,1.7269916484640933,0.9970790931289798,15.22301499911713,23.803185162665844,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.5057804729128179,2.459449647520408,False
MIDPOINT,20.0,R_var,1000,3,"[11,29,47]",-9.499444869956998,52.52432953239805,30.324935794534625,-139.97711264417163,120.97822290425763,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,194254934.45199144,330939082.88645226,False
MIDPOINT,20.0,P_var,1000,3,"[11,29,47]",-6.3326332487304215,85.30950104830754,49.25346339467302,-218.2531819708093,205.58791547334846,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,387364461.51582956,662671467.4981711,False
